ANO_IS;UF_LPI;ignorado;vivo;obito
1994;RR;0;0;1
1995;MA;1;0;1
1995;PA;0;0;1
1995;RR;0;1;0
1996;AM;0;2;12
1996;MS;0;0;1
1997;PA;0;0;2
1997;RO;0;0;1
1998;AM;0;2;1
1998;MT;0;0;1
1998;PA;0;15;8
1998;RR;0;3;4
1999;AM;0;1;4
1999;GO;0;6;5
1999;MT;0;1;4
1999;PA;4;23;9
1999;RR;0;1;2
1999;TO;0;11;5
2000;AC;0;1;0
2000;AM;0;1;0
2000;BA;0;7;3
2000;DF;0;0;2
2000;GO;0;30;23
2000;MG;0;0;2
2000;MT;0;4;3
2000;PA;0;0;1
2000;SP;0;0;2
2000;TO;0;2;4
2001;AM;0;1;2
2001;MG;0;16;16
2001;MT;0;1;1
2001;PA;0;1;1
2001;RO;0;0;1
2001;RR;0;0;1
2002;AM;0;3;2
2002;MG;0;4;2
2002;PA;0;0;1
2002;RR;0;1;1
2003;AM;0;1;0
2003;MG;0;37;22
2003;MT;0;3;2
2003;PA;0;1;0
2004;AM;0;1;2
2004;PA;0;1;1
2005;AM;0;0;2
2005;RR;0;0;1
2006;AM;0;0;1
2006;MT;0;0;1
2007;AM;0;0;3
2007;DF;0;1;0
2007;GO;0;1;6
2007;MT;0;0;1
2007;PA;0;1;0
2007;RR;0;0;1
2008;DF;0;1;4
2008;GO;0;7;10
2008;MG;0;1;0
2008;MS;0;7;2
2008;MT;0;0;2
2008;PA;0;1;2
2008;PR;0;1;1
2008;RS;0;1;4
2008;SP;0;0;2
2009;MG;0;1;0
2009;MT;0;1;1
2009;RS;0;11;5
2009;SP;0;17;11
2010;MS;0;0;1
2010;PA;0;0;1
2011;PA;0;1;1
2013;AM;0;2;0
2013;PA;0;1;0
2014;PA;0;1;0
2015;GO;0;2;4
2015;MS;0;0;1
2015;PA;0;2;0
2016;AM;0;1;1
2016;GO;0;0;3
2016;MG;0;13;30
2016;SP;0;0;3
2017;AM;1;0;0
2017;DF;0;0;2
2017;ES;32;139;84
2017;GO;0;0;1
2017;MG;17;285;132
2017;MT;0;0;1
2017;PA;3;1;4
2017;RJ;7;12;9
2017;SP;0;40;36
2017;TO;0;0;1
2018;AM;0;1;0
2018;ES;0;3;0
2018;MG;2;347;171
2018;RJ;4;179;96
2018;SP;9;317;179
2019;AM;0;1;0
2019;PA;1;0;3
2019;PR;0;11;1
2019;SC;0;0;2
2019;SP;4;55;12
2020;AC;0;0;1
2020;SC;1;14;2
2021;PA;1;0;2
2021;SC;1;4;3
2022;PA;0;0;1
2022;SP;0;1;0
2022;TO;0;1;1
2023;AM;0;1;1
2023;RR;0;0;1
2023;SP;0;1;2
2024;AM;0;0;2
2024;MG;0;1;1
2024;PA;0;1;0
2024;SP;0;2;1
